day,policy,health,svi,eff_tss,flagged_frac,energy_kwh
0,none,0.92,100.8,8.719999999999999,0.3333333333333333,1040.0
1,none,0.92,100.8,8.719999999999999,0.26666666666666666,1040.0
2,none,0.92,100.8,8.719999999999999,0.36666666666666664,1040.0
3,none,0.92,100.8,8.719999999999999,0.3333333333333333,1040.0
4,none,0.92,100.8,8.719999999999999,0.16666666666666666,1040.0
5,none,0.92,100.8,8.719999999999999,0.43333333333333335,1040.0
6,none,0.92,100.8,8.719999999999999,0.3333333333333333,1040.0
7,none,0.92,100.8,8.719999999999999,0.3333333333333333,1040.0
8,none,0.92,100.8,8.719999999999999,0.2,1040.0
9,none,0.92,100.8,8.719999999999999,0.26666666666666666,1040.0
10,none,0.92,100.8,8.719999999999999,0.23333333333333334,1040.0
11,none,0.92,100.8,8.719999999999999,0.4,1040.0
12,none,0.92,100.8,8.719999999999999,0.3,1040.0
13,none,0.92,100.8,8.719999999999999,0.36666666666666664,1040.0
14,none,0.92,100.8,8.719999999999999,0.26666666666666666,1040.0
15,none,0.92,100.8,8.719999999999999,0.2,1040.0
16,none,0.92,100.8,8.719999999999999,0.3,1040.0
17,none,0.92,100.8,8.719999999999999,0.16666666666666666,1040.0
18,none,0.92,100.8,8.719999999999999,0.36666666666666664,1040.0
19,none,0.92,100.8,8.719999999999999,0.3,1040.0
20,none,0.8600000000000001,102.82499999999999,9.229999999999999,0.36666666666666664,1047.4999999999998
21,none,0.8024,106.794,10.229599999999998,0.3,1062.2
22,none,0.747104,112.62924,11.699216,0.5333333333333333,1083.812
23,none,0.6940198399999999,120.2560704,13.620047359999997,0.5,1112.0595199999998
24,none,0.6430590463999999,127.577827584,15.464045465600002,0.4666666666666667,1139.1771392
25,none,0.5941366845439998,134.60671448064,17.234283646976003,0.3333333333333333,1165.210053632
26,none,0.5471712171622399,141.3544459014144,18.933712301096968,0.43333333333333335,1190.2016514867203
27,none,0.5020843684757503,147.83226806535782,20.565163809053086,0.3,1214.1935854272513
28,none,0.45880099373672034,154.05097734274352,22.374415897255574,0.4,1253.4297513811352
29,none,0.41724895398725154,160.0209382490338,24.23615926136535,0.5333333333333333,1299.42056132589
30,none,0.3773589958277615,165.75210071907242,26.023432890910737,0.4666666666666667,1343.5717388728542
31,none,0.33906463599465103,171.25401669030953,27.739215575274304,0.36666666666666664,1385.9568693179401
32,none,0.302302050554865,176.53585602269715,29.386366952263334,0.6,1426.6465945452226
33,none,0.2670099685326704,181.60642178178927,30.967632274172797,0.6,1465.7087307634135
34,none,0.23312956979136357,186.4741649105177,32.48564698320589,0.6,1503.2083815328772
35,none,0.33110976873934994,186.7426416803841,32.56937196106793,0.6,1505.2766470192553
36,none,0.4065545219292995,183.22412077149693,31.472114699852007,0.6,1478.1710044619024
37,none,0.4646469818855606,176.5538715708369,29.39198513431284,0.4666666666666667,1426.7853809901508
