backbone,comparison,n_healthy,n_stressed,auroc,ap
dinov3,healthy_vs_Arcellinida,647,800,0.7882341576506955,0.8326135664842768
dinov3,healthy_vs_Nematoda,647,707,0.793379956233645,0.8160784607911153
randvit,healthy_vs_Arcellinida,647,800,0.5430370942812983,0.5998119600677728
randvit,healthy_vs_Nematoda,647,707,0.5072699806964578,0.5686021333871815
resnet50,healthy_vs_Arcellinida,647,800,0.5224207882534776,0.5699003216301652
resnet50,healthy_vs_Nematoda,647,707,0.6693781985838239,0.7212187477708114
